ФИО,Желаемая должность,Зарплата,Личная информация,Местоположение,Занятость и график,Общий опыт,Последнее место работы,Обязанности,Ключевые навыки,Обо мне,Образование,Языки,Ссылка
Кандидат,Backend разработчик .Net C#,350 000 ₽ на руки,"Мужчина, 46 лет","Москва , готов к переезду , готов к командировкам",Не указано,Опыт работы 24 года 9 месяцев,Разработчик C# в SDI Research,"Внедрение MDM-системы, разработка интеграционных модулей (b2b) в ПАО Газпром на проектах по импортозамещению SAP (Проект реализован) Обязанности: Разработка, внедрение, сопровождение и тестирование, регулярный мониторинг производительности программного кода кода на языке C#, подготовка сборки, настройка сервера Nginx, авторизация на базе KeyCloak. ОС Windows, Linux (RedOS, Debian, Astra), код-ревью, масштабирование серверной архитектуры, формализация и алгоритмизация поставленных задач для дальнейшего написания программного кода","C#, MS SQL Server, REST, Git, Entity Framework, .NET Core, Linux, Redis, MS Visual Studio, Visual Studio C#, MS SQL, RabbitMQ, DevOps, САПР, Atlassian Jira, SaaS, CI/CD, Docker, .Net 8, Qnx, PostgreSQL, MongoDB, Elasticsearch, SOA, MSA, SOAP, Keycloak, Grafana, ELK, Управление конфликтами, Русский — Родной, Английский — B1 — Средний","Женат. Двое детей. Хобби - музыка Реализованные проекты: + Интеграционные взаимодействия с ERP системами, шинами данных ПАО Сургутнефтегаз + Интеграционные взаимодействия с MDM системами, шинами данных ПАО Газпром + Разработал методику и программный код Сапр на языке C++ + Перевёл несколько САПР с ОС Windows на ОС Linux + Разработал и внедрил приложения для операционных систем реального времени Ключевые навыки: Сайзинг оборудования, оценка трудозатрат Работа с аналитиками, с архитекторами, DevOps, код-ревью, перевод легаси-кода на новые фреймворки","Московский авиационный институт (национальный исследовательский университет), Москва АСУ , Программные и аппаратные средства АСУ ЛА; Московский авиационный институт (национальный исследовательский университет), Москва Экономика , Финансовый менеджмент","Русский — Родной, Английский — B1 — Средний",https://hh.ru/resume/735d51b700040ead140039ed1f314236786930
Кандидат,C# разработчик,120 000 ₽ на руки,"Мужчина, 32 года","Омск , готов к переезду (Москва) , готов к командировкам",Не указано,Опыт работы 4 года 1 месяц,С#- разработчик в Практика по Backend разработке,"Во время практики научился: -Создавать десктопные и консольные приложения, которые взаимодействую с файлами на компьютере и с базой данных. -Учился делать рефакторинг своих приложений, перестраивать под “чистый код”. -Получил опыт в создании сервисов для работы с внешними API ресурсами, например, Телеграм бот. Инструменты: Microsoft Visual Studio, Visual Studio Code, SQL Server Management Studio и IIS Express. Достижения: Разработал CRM-систему (https://github.com/pr0vak/SkillProfi) для получения заявок от сотрудников. Где сотрудники заполняют форму для отправки сообщения (ФИО, контакты и описание проблемы), а пользователи просматривают эти сообщения и обрабатывают их. Также, сотрудники могут просматривать дополнительную информацию о компании и их контакты.","ООП, C#, Entity Framework, ADO.NET, MS SQL, MySQL, HTML, CSS, Git, ASP.NET MVC Core, Web API ASP.NET Core, MS Visual Studio, JSON API, WPF, SQL, Linux, Docker, Русский — Родной","Всегда интересовался сферой IT (программировал на C++, Java, C#), планирую дальше развиваться в сторону backend-разработки. Уже хорошо освоил программирование с использованием языка C#, на данный момент продолжаю углубляться в разработку и в верстку. Выбрал именно backend-разработку, потому что мне нравится решать задачи логическим путем. Сильные стороны: - Работа на результат - Самостоятельный поиск решения проблемы - Увлеченность в процессе разработки","Омский государственный технический университет, Омск Машиностроительный Институт , Обработка металлов давлением; Skillbox Skillbox , Профессия C#-разработчик; Омский институт информационных технологий Омский институт информационных технологий , Техник-программист; C#–разработчик с нуля до PRO Skillbox , C#–разработчик",Русский — Родной,https://hh.ru/resume/cb8f86e30003d8509d0039ed1f374a514d6e69
Кандидат,C#/.NET-разработчик,120 000 ₽ на руки,"Мужчина, 25 лет","Москва , не готов к переезду , готов к командировкам",Не указано,Опыт работы 1 год 7 месяцев,разработчик в RozumSoft,"разработка и поддержание web api приложений, backend на ASP.NET, работа с базой данный (postgres)","C#, Entity Framework, ASP.NET, PostgreSQL, SQL, RabbitMQ, Git, ASP.NET MVC, Русский — Родной, Английский — B2 — Средне-продвинутый","RozumSoft | .NET Backend Developer (июнь 2024 - по настоящее время) Задачи: - Разработка и внедрение высоконагруженных и масштабируемых backend-решений для веб-приложений и микросервисов на стеке .NET. - Ключевой участник команды по разработке интеграционного API для партнеров, которое обеспечивает взаимодействие с десятками внешних систем. Ключевые достижения и проекты: Проект: Разработка сервиса-медиатора между микросервисами - Спроектировал и реализовал с нуля сложный orchestration-сервис, координирующий взаимодействие между десятком внутренних микросервисов. - Реализовал механизм управления сложными multi-step процессами с сохранением каждого шага и состояния в БД для обеспечения отказоустойчивости и аудита. - Разработал систему маршрутизации сообщений и выполнения бизнес-логики на основе состояния процесса. Проект: Интеграционное API для партнеров - Разработал RESTful API на ASP.NET Core, которое служит единой точкой входа для всех сторонних партнеров. Технический стек и навыки: Языки: C# (.NET Core / .NET 5-8), SQL, TypeScript (базовый уровень) Технологии: ASP.NET Core (Web API, MVC), Entity Framework Core (Code First, Database First, Migrations, сложные запросы), LINQ Базы данных: PostgreSQL (проектирование схем, работа с 30+ таблицами), MS SQL Server Инструменты и инфраструктура: RabbitMQ (очереди сообщений), Git (GitLab), Autofac (IoC/DI) Архитектура и методологии: Микросервисная архитектура, RESTful API, ООП, SOLID, паттерны проектирования","Национальный исследовательский университет ""Высшая школа экономики"", Москва Гуманитарных наук; Национальный исследовательский университет ""Высшая школа экономики"", Москва Факультет Компьютерных Наук , Программная инженерия; Основы Python Высшая школа экономики , программирование; Основы C++ Высшая школа экономики , программирование; Введение в базы данных stepik.org , SQL","Русский — Родной, Английский — B2 — Средне-продвинутый",https://hh.ru/resume/0a721aea000744b28c0039ed1f773064546c68
Кандидат,C# Developer,Не указано,"Мужчина, 32 года","Москва , м. Алтуфьево , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 5 лет 9 месяцев,Разработчик C# в Медиалогия,"Занимаюсь разработкой и доработкой имеющегося функционала. Основной стек: .NET Framefork, .NET Core, MSSQL, PostgreSQL, RabbitMq, Kafka, Redis, Docker, Kubernetes",".NET Core, C#, ASP.NET Core, WPF, Entity Framework, CSS, ООП, MS SQL, PostgreSQL, Git, Atlassian Jira, TFS, Docker, MS Visual Studio, Rust, Русский — Родной, Английский — A2 — Элементарный",Моим главным увлечением является разработка ПО и получение новых знаний.,"Московский государственный технологический университет ""Станкин"", Москва Информационные технологии и системы управления , Информационно-измерительная техника и технологии","Русский — Родной, Английский — A2 — Элементарный",https://hh.ru/resume/ad27b37b000586a8770039ed1f5662714f3050
Кандидат,Разработчик C# .net,Не указано,"Мужчина, 45 лет","Казань , готов к переезду (Москва, Санкт-Петербург, Ярославль) , готов к командировкам",Не указано,Опыт работы 19 лет 1 месяц,Разработчик в ООО ИнБит,"Организовал исследовательский проект ""Инновационные биотехнологии"" (инбит). Являюсь учредителем, генеральным директором, разработчиком. Область деятельности: производство оборудования для автоматизированного, роботизированного, энергоэффективного выращивания растений. Проект поддержан фондом содействия инноваций, резидент ИЦ ""Сколково"". Имеются патенты. С# WPF OPC GCC","изобретательность, нестандарное мышление, Ответственность, увлеченность делом, умение выделять основную суть, умею работать и руками и головой, Организаторские навыки, Управление проектами, Ведение переговоров, Аналитическое мышление, Системный подход, Стратегическое мышление, Грамотная речь, Английский язык, легкая обучаемость, Русский — Родной, Английский — B2 — Средне-продвинутый","Опыт разработок более 10 лет. Управление IT проектами, понимание рисков разработки и их оптимизация. ///Знание алгоритмов, оптимизация кода Основные навыки(C#, .NET, WPF, WinForms, Linq, ASP.NET MVC, WebAPI, HTTP, silverLight, богатый опыт в разработке GUI, интеграция с 1С) { - Программы учета нефти и нефтепродуктов: ТЗК Шереметьево, Лукойл, Татнефть, Каспийский Трубопроводный Консорциум и тд; - Автоматизированное Рабочее Место (АРМ) оператора: установка поверки газовых расходомеров, тепличный автоматизированный комплекс и тд.. - ERP web: ОП ГНМЦ ОАО нефтеавтоматика; - Парсеры, автокликеры: фриланс. - ПО для технического зрения. } Знание реляционной алгебры, понимание сути реляционных БД. SQL: MSSQL, Firebird, MySQL. Дополнительно: С, С++, Lua, Delphi, UML. Промышленная электроника: МЭК 61131(PLC), Codesys (GUI), OPC, Modbus (RTU, TCP), ПУЭ. Масса разработанных проектов автоматизации АСУ ТП (нефтегазовая промышленность; метрология (поверочные, эталонные, измерительные установки, системы, АРМ); строительные инженерные системы: вентиляция, диспетчеризация, СКУД, котельные; общепромышленная автоматизация: образовательные стенды, тренажеры, производственные линии, станки). РЭА: AVR, STM32, микроэлектроника, разработка PCB, монтаж, отладка. GCС, С++, asm.","Казанский (Приволжский) федеральный университет, Казань физический , Квантовая электроника и радиоспектроскопия, магистр.","Русский — Родной, Английский — B2 — Средне-продвинутый",https://hh.ru/resume/11da16b700083ab9b10039ed1f50634d366a57
Кандидат,Программист C# .NET Developer,Не указано,"Мужчина, 39 лет","Москва , готов к переезду , готов к командировкам",Не указано,Опыт работы 5 лет 8 месяцев,C# Developer в ООО <Resal Soft>,Интеграция инструментов с 1С,"C#, .NET Framework, SQL, WPF, WCF, Entity Framework, LINQ, ООП, ADO.NET, Windows Forms, Java, Армянский — Родной, Английский — B1 — Средний, Русский — C1 — Продвинутый",Не указано,Ереванский Государственный Университет Информатики и Прикладной Математики,"Армянский — Родной, Английский — B1 — Средний, Русский — C1 — Продвинутый",https://hh.ru/resume/f346581d00083e181c0039ed1f44456d546a4a
Кандидат,C#/.NET-разработчик,Не указано,"Мужчина, 26 лет","Москва , м. Сходненская , не готов к переезду , готов к командировкам",Не указано,Опыт работы 4 года 6 месяцев,Backend-разработчик в Каспел,"Участвовал в разработке десктопного приложения на WinForms и веб-приложения ASP.NET core. Само приложение представляло систему ERP(десктоп и веб). Также занимался интеграцией с Microsoft Graph. Работал с документацией(ТЗ). Работал с Git. Работал с бд Postgres, MySQL, MSSQL. Писал unit тесты","C#, SQL, Работа с СУБД, MS SQL, XAML, WPF, MS Visual Studio, JavaScript, Entity Framework, ООП, Visual Studio C#, HTML, Ajax, jQuery, MVC, XML, LINQ, Управление проектами, Управление процессами, Базы данных, Разработка ПО, Веб-разработка, Умение работать в команде, Умение разбираться в чужом коде, Программирование, Oracle Pl/SQL, .NET Core, ASP.NET MVC, ASP.NET Core, ASP. NET, Русский — Родной","В последние годы проходил службу в армии. В последние годы проходил обучение без возможности работать(студент 3 курс МАИ). Уверенно владею языком C#, работал с SQL, занимался объектно-ориентированным программированием. Из моих soft skills: коммуникабельность, пунктуальность, умение работать с информацией","Московский авиационный институт (национальный исследовательский университет), Москва Факультет двигателей летательных аппаратов , Проектирование авиационных и ракетных двигателей; C#-разработчик Онлайн-университет Skillbox",Русский — Родной,https://hh.ru/resume/91202d5000056124bd0039ed1f42664a707457
Кандидат,C# ASP.Net Core Developer,Не указано,"Мужчина, 37 лет","Бишкек , готов к переезду (Владивосток, Волгоград, Казань, Минск, Москва, Новосибирск, Омск, Санкт-Петербург) , готов к командировкам",Не указано,Опыт работы 13 лет 9 месяцев,C# Developer в Fmedia,"Разработка CRM System Стек технологий: DevExpress, .Net 4.8, .Net 6, MSSQL, Gitlab, CI\CD, Linux, Clean Architecture","HTML, CSS, .NET Framework, Entity Framework, LINQ, C#, ASP.NET MVC, Bootstrap, jQuery, ASP.NET Core, Git, Atlassian Jira, Autofac, Модульные тесты (NUnit, MS Test), MS SQL, PostgreSQL, CI\CD, .Net, Scrum, Русский — Родной, Английский — B1 — Средний","Пример кода https://gitlab.com/isa1988/quickreports (сделанное тестовое задание как на ,Net8 так и на ReactJS) https://gitlab.com/isa1988/mcserviceengineering сделанное тестовое задание https://gitlab.com/isa1988/testtaskorderwebapi https://gitlab.com/isa1988/testtaskorderfrontreact(фронт react) https://gitlab.com/isa1988/BookInfoApp - тестовый проект ASP.Net 5 + PosgreSQL + CI\CD https://libraryinfo.ddns.net/swagger/index.html https://github.com/isa1988/DictionaryOfWords - Словарик ASP.Net Core 2.2 + mySQL https://github.com/isa1988/WeatherTelegramBot- Телеграм бот https://github.com/isa1988/ProjectDataProgramOnCore на ASP.Net Core mvc последний из реализованных https://github.com/isa1988/FoodOrder проект на ASP.Net Core mvc https://github.com/isa1988/CalculatorAndMathExpression калькулятор и решение выражения в столбик применение паттерна Состояние https://github.com/isa1988/NewsHeadings на ASP.Net mvc https://github.com/isa1988/CompanyAlpha на ASP.Net mvc Увлечения: активные виды отдыха, чтение, хорошая музыка, изучение языков программирования Стрессоустойчив, нацелен на результат, умею брать ответственность, коммуникабельный есть ИП","КГТУ им И. Раззакова. Факультет информационных технологий , Программное обеспечение вычислительной техники и автоматизированных систем; CyberBionic Systematics itvdn.com , C#","Русский — Родной, Английский — B1 — Средний",https://hh.ru/resume/a8feb59100053052cd0039ed1f726444496b38
Кандидат,Программист C#,100 000 ₽ на руки,"Мужчина, 30 лет","Москва , не готов к переезду , готов к командировкам",Не указано,Опыт работы 5 лет 1 месяц,Преподаватель C# в Stepik,"Преподавание материала, помощь в решении задач, практическая демонстрация.","Исполнительность, Ответственность, Обучение и развитие, Деловая коммуникация, SQL, REST, API, LINQ, WPF, MVVM, RabbitMQ, PostgreSQL, ASP.NET, NUnit, XUnit, Русский — Родной, Английский — B1 — Средний","Пишу на языке C#, по необходимости могу разобраться в других языках и новых для себя технологиях. Люблю объяснять то, что сам уже понял, простым языком ‒ являюсь одним из преподавателей и создателей курсов “С# для продвинутых”, “C#. Технология Linq”, а также администратором Telegram-канала, посвященного изучению C#. (https://stepik.org/course/84983/promo) (https://stepik.org/course/87924/promo) (https://t.me/csharp_publics) В написании кода стремлюсь к читаемости и чистоте. Я ответственный, люблю доводить дело до конца, легко обучаюсь, хорошо взаимодействую с людьми.","Российский государственный торгово-экономический университет, Москва Техник-Технолог","Русский — Родной, Английский — B1 — Средний",https://hh.ru/resume/a9661d35000890776c0039ed1f485176726941
Кандидат,C# разработчик,Не указано,"Мужчина, 30 лет","Москва , не готов к переезду , готов к редким командировкам",Не указано,Опыт работы 9 лет 1 месяц,Старший специалист по автоматизированному тестированию в Синимекс,"Проведение автоматизированного тестирования, автоматизация тест-кейсов.","ООП, C#, Git, MS Visual Studio, WPF, MySQL, .NET Framework, PostgreSQL, HTML, JavaScript, SQL, .NetCore, Atlassian Jira, MVVM, MVC, IIS, Windows Forms, PowerShell, Microsoft Visual Studio, LINQ, CSS, jQuery, Ajax, Bash, TFS, ASP.NET, REST, Linux, Чеченский — Родной, Английский — B1 — Средний, Ингушский — A1 — Начальный, Русский — C2 — В совершенстве","Личные качества: коммуникабельность, ответственность, умение взаимодействовать с командой.","Омский государственный университет им. Ф.М. Достоевского, Омск Факультет компьютерных наук , Компьютерная безопасность; Стажировка тестировщиков ПО Тамтэк , Тестирование ПО","Чеченский — Родной, Английский — B1 — Средний, Ингушский — A1 — Начальный, Русский — C2 — В совершенстве",https://hh.ru/resume/4fc75b40000619a6610039ed1f586a796f5a79
